stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
SHE400o,7165,SHEPHERD AVE 400,400 SHEPHERD AVE & JACKSON ST,39.228337,-84.449048,,,,,,0
MANDANo,6942,MANGHAM DR & DANTZLER DR,,39.246467,-84.450654,,,,,,0
MANCHIo,6950,MANGHAM DR & CHICAGO AVE,,39.247975,-84.450514,,,,,,0
CHI1152o,6956,CHICAGO AVE 1152,,39.248608,-84.45539,,,,,,0
MONBOSi,7073,MONTGOMERY RD & BOSWORTH PL,,39.174526,-84.44329,,,,,,0
GILKENi,5557,GILBERT AVE & KENTON ST,,39.120879,-84.494089,,,,,,0
LEGMEDo,6928,LEGGETT ST & MEDOSH AVE,,39.243103,-84.457845,,,,,,0
GLEGLENo,6669,GLENDALE MILFORD RD & GLENDALE RD,,39.257618,-84.466399,,,,,,0
ZIN3932i,8004,ZINSLE AVE 3932,,39.185416,-84.403518,,,,,,0
SPRVALo,6358,SPRINGFIELD PIKE & VALE AVE,,39.239066,-84.471419,,,,,,0
SPR940o,6351,SPRINGFIELD PIKE 940,,39.23282,-84.472035,,,,,,0
NOROLDo,6052,NORTHLAND BLVD & OLDE GATE DR,NORTHLAND BLVD & LANDAN LN,39.282588,-84.481163,,,,,,0
QUEENGo,3373,QUEEN CITY AVE & ENGEL ALY,,39.126192,-84.551626,,,,,,0
QUEPINo,3625,QUEEN CITY AVE & PINETREE ST,QUEEN CITY AVE & PINE ALY,39.126356,-84.547926,,,,,,0
QUE2016o,3131,QUEEN CITY AVE 2016,2016 QUEEN CITY AVE & LICK RUN WAY,39.127979,-84.566958,,,,,,0
QUE2772o,2317,QUEEN CITY AVE 2772,,39.133827,-84.594267,,,,,,0
QUE2820o,2320,QUEEN CITY AVE 2820,2820 QUEEN CITY AVE & TIMBERCREST DR,39.134565,-84.596651,,,,,,0
WER3136o,2050,WERK RD 3136,,39.140682,-84.60617,,,,,,0
WER3188o,2051,WERK RD 3188,,39.14076,-84.60784,,,,,,0
APP3833i,1805,APPLEGATE AVE 3833,,39.149063,-84.616852,,,,,,0
WER3161i,2047,WERK RD 3161,3161 WERK RD & ALBERT ST,39.140564,-84.60708,,,,,,0
WER3141i,2046,WERK RD 3141,3141 WERK RD & UNNAMED R/W,39.140513,-84.605866,,,,,,0
QUE2841i,2319,QUEEN CITY AVE 2841,2841 QUEEN CITY AVE & TIMBERCREST DR,39.134554,-84.598005,,,,,,0
QUE2811i,2318,QUEEN CITY AVE 2811,2811 QUEEN CITY AVE & TIMBERCREST DR,39.134404,-84.596662,,,,,,0
QUE2767i,2314,QUEEN CITY AVE 2767,2767 QUEEN CITY AVE & TIMBERCREST DR,39.133373,-84.593764,,,,,,0
QUERIDi,2554,QUEEN CITY AVE & RIDGETOP,2567 QUEEN CITY AVE & RIDGETOP WAY,39.129297,-84.585186,,,,,,0
WES1735i,3368,WESTWOOD AVE 1735,,39.125065,-84.55494,,,,,,0
WESAMOi,3366,WESTWOOD AVE & AMOR PL,,39.124774,-84.5509,,,,,,0
NOROLDi,6055,NORTHLAND BLVD & OLDE GATE DR,,39.282766,-84.480859,,,,,,0
SPRGRUi,6375,SPRINGFIELD PIKE & GRUENINGER,SPRINGFIELD PIKE & GLENDALE MILFORD RD,39.254788,-84.470152,,,,,,0
SPRMARi,6372,SPRINGFIELD PIKE & MARION RD,,39.252111,-84.470408,,,,,,0
SPRFLEi,6354,SPRINGFIELD PIKE & FLEMING RD,,39.235087,-84.472013,,,,,,0
SPRRICi,6357,SPRINGFIELD PIKE & RITCHIE AVE,,39.238897,-84.471652,,,,,,0
SPRDORi,6348,SPRINGFIELD PIKE & DORINO PL,,39.230474,-84.472443,,,,,,0
CHI1162i,6955,CHICAGO AVE 1162,,39.248439,-84.455227,,,,,,0
VINORCi,5433,VINE ST & ORCHARD ST,,39.163809,-84.503176,,,,,,0
VINCLIi,4901,VINE ST & CLIFTON AVE,VINE ST & E CLIFTON AVE,39.117966,-84.517293,,,,,,0
VIN6THo,1054,VINE ST & 6TH ST,,39.102355,-84.513156,,,,,,0
GLEGLENi,6668,GLENDALE MILFORD RD & GLENDALE RD,,39.257493,-84.466831,,,,,,0
CHIMANi,6951,CHICACO AVE & MANGHAM DR,CHICAGO AVE & MANGHAM DR,39.248002,-84.450794,,,,,,0
MANDANi,6940,MANGHAM DR & DANTZLER DR,MANGHAM DR & CHICAGO AVE,39.247128,-84.450806,,,,,,0
MANADAi,6932,MANGHAM DR & ADAMS RD,,39.24438,-84.451063,,,,,,0
MANCHAi,6922,MANGHAM DR & CHAMBERLAIN AVE,,39.240891,-84.451494,,,,,,0
SID5136o,1970,SIDNEY RD 5136,,39.123682,-84.608219,,,,,,0
SID5252o,1671,SIDNEY AVE 5252,5252 SIDNEY AVE & WESTERN HILLS LN,39.125138,-84.613103,,,,,,0
MUD3343o,1731,MUDDY CREEK RD 3343,,39.136815,-84.614883,,,,,,0
8THDEPo,3325,8TH ST & DEPOT ST,W 8TH ST & DEPOT ST,39.105251,-84.551686,,,,,,0
GRA941o,3078,GRAND AVE 941,GRAND AVE & MARYLAND AVE,39.108347,-84.560994,,,,,,0
8THHARo,2516,8TH & HARRIS AVE,W 8TH ST & SUIRE AVE,39.106915,-84.581556,,,,,,0
8TH4332o,2251,8TH ST 4332,W 8TH ST & SCHIFF AVE,39.108489,-84.593278,,,,,,0
GLE6318o,1513,GLENWAY AVE 6318,SR 264,39.14664,-84.625604,,,,,,0
GRA946i,3079,GRAND AVE 946,946 GRAND AVE & MARYLAND AVE,39.108713,-84.560737,,,,,,0
GLE2717i,3357,GLENWAY AVE 2717,,39.111234,-84.555653,,,,,,0
SHE401i,7163,SHEPARD AVE 401,401 SHEPHERD AVE,39.22831,-84.449294,,,,,,0
SPRWHIi,6342,SPRINGFIELD PIKE & W HILL LN,,39.225048,-84.473013,,,,,,0
SPRSHEi,6339,SPRINGFIELD PIKE & SHERRY RD,,39.220801,-84.47342,,,,,,0
SPRALEi,6338,SPRINGFIELD PIKE & ALLEN AVE,,39.220105,-84.473478,,,,,,0
KENHIGi,7810,KENNEDY AVE & HIGHLAND AVE,,39.170786,-84.419821,,,,,,0
VINDECi,6307,VINE ST & DE CAMP AVE,VINE ST & GLENDALE AVE,39.205704,-84.474873,,,,,,0
KENKENi,7812,KENNEDY AVE & KENOAK LN,,39.172928,-84.418278,,,,,,0
KENDICi,7816,KENNEDY AVE & DICKENS AVE,,39.177558,-84.415532,,,,,,0
VIN77THi,6295,VINE ST & 77TH ST,,39.200172,-84.475408,,,,,,0
KEN6110i,7824,KENNEDY AVE 6110,,39.182349,-84.414269,,,,,,0
