"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"100570","0","8125 Mall Road - In","","38.983693","-84.650423","Transit Authority of Northern Kentucky","","0",""
"100330","0","StElizabeth Florence - In","","39.015822","-84.629539","Transit Authority of Northern Kentucky","","0",""
"10646","0","Scenic View at Rock Hill - In","","39.095533","-84.466066","Transit Authority of Northern Kentucky","","0",""
"10645","0","Memorial at Taylor - In","","39.095945","-84.472503","Transit Authority of Northern Kentucky","","0",""
"10648","0","Memorial at Wessex - Out","","39.092381","-84.46187","Transit Authority of Northern Kentucky","","0",""
"10647","0","Scenic View at Rock Hill - Out","","39.095312","-84.465629","Transit Authority of Northern Kentucky","","0",""
"10649","0","Memorial at Oakwood - In","","39.093841","-84.461751","Transit Authority of Northern Kentucky","","0",""
"820","0","Holmes High School - Out","","39.060798","-84.504077","Transit Authority of Northern Kentucky","","0",""
"100320","0","16 Spiral Drive - In","","39.017595","-84.641626","Transit Authority of Northern Kentucky","","0",""
"823","0","Madison at Catalpa - Out","","39.062318","-84.504773","Transit Authority of Northern Kentucky","","0",""
"10640","0","E 10th at N Grand - In","","39.092771","-84.480696","Transit Authority of Northern Kentucky","","0",""
"825","0","Madison at E 24th - Out","","39.063239","-84.505019","Transit Authority of Northern Kentucky","","0",""
"826","0","Scott St at Wallace - Out","","39.065612","-84.503889","Transit Authority of Northern Kentucky","","0",""
"10642","0","Memorial at Wilson - In","","39.092915","-84.475151","Transit Authority of Northern Kentucky","","0",""
"10641","0","Memorial at Wilson - Out","","39.093036","-84.474848","Transit Authority of Northern Kentucky","","0",""
"100325","0","Hansel at Richman - In","","39.018648","-84.634034","Transit Authority of Northern Kentucky","","0",""
"10644","0","123 Memorial - In","","39.094141","-84.474428","Transit Authority of Northern Kentucky","","0",""
"829","0","Madison at Wallace - Out","","39.065605","-84.505589","Transit Authority of Northern Kentucky","","0",""
"10643","0","118 Memorial - Out","","39.093902","-84.474449","Transit Authority of Northern Kentucky","","0",""
"100380","0","Dixie at Garvey - In","","39.013485","-84.605439","Transit Authority of Northern Kentucky","","0",""
"100140","0","Dixie at West Lakeside - Out","","39.034024","-84.565614","Transit Authority of Northern Kentucky","","0",""
"100385","0","Dixie at Stevenson - In","","39.016886","-84.599851","Transit Authority of Northern Kentucky","","0",""
"ELESAR","0","11th at Saratoga","","39.086604","-84.486795","Transit Authority of Northern Kentucky","","0",""
"229MAN","0","229 Main In","","39.077382","-84.490656","Transit Authority of Northern Kentucky","","0",""
"10613","0","E 6th at Washington - In","","39.093158","-84.490704","Transit Authority of Northern Kentucky","","0",""
"30222","0","2nd at Benham - In","","39.116476","-84.462984","Transit Authority of Northern Kentucky","","0",""
"10612","0","E 6th at Washington - Out","","39.092902","-84.490892","Transit Authority of Northern Kentucky","","0",""
"10615","0","E 6th at Overton - Out","","39.09355","-84.489782","Transit Authority of Northern Kentucky","","0",""
"10614","0","E 6th at Overton - In","","39.093735","-84.48965","Transit Authority of Northern Kentucky","","0",""
"30223","0","York at 3rd - Out","","39.093105","-84.497096","Transit Authority of Northern Kentucky","","0",""
"10617","0","E 6th at Monroe - In","","39.094135","-84.48892","Transit Authority of Northern Kentucky","","0",""
"830","0","W 19th at Howell - In","","39.065677","-84.512004","Transit Authority of Northern Kentucky","","0",""
"10616","0","E 6th at Monroe - Out","","39.094022","-84.488885","Transit Authority of Northern Kentucky","","0",""
"831","0","W 19th at Howell - Out","","39.065795","-84.511925","Transit Authority of Northern Kentucky","","0",""
"10619","0","E 6th at Park - In","","39.094728","-84.487849","Transit Authority of Northern Kentucky","","0",""
"30220","0","Dolwick at Appomatox - Out","","39.050737","-84.620702","Transit Authority of Northern Kentucky","","0",""
"832","0","Franklin at Highland - In","","39.065081","-84.514554","Transit Authority of Northern Kentucky","","0",""
"10618","0","E 6th at Park - Out","","39.09453","-84.487954","Transit Authority of Northern Kentucky","","0",""
"833","0","Highland Pike at Franklin - Out","","39.065195","-84.514537","Transit Authority of Northern Kentucky","","0",""
"100375","0","Dixie at Forest - In","","39.011938","-84.607324","Transit Authority of Northern Kentucky","","0",""
"834","0","Highland Pike at Benton - Out","","39.064504","-84.5162","Transit Authority of Northern Kentucky","","0",""
"100135","0","Dixie at Buttermilk - Out","","39.036264","-84.561151","Transit Authority of Northern Kentucky","","0",""
"835","0","Highland at Benton - In","","39.064338","-84.516407","Transit Authority of Northern Kentucky","","0",""
